target,arch,seed,input_norm,n_aux,val_MAE_log,MAE_log,R2_log,MAE_lin,R2_lin
pgv_fwd,cnn,0,peak,2,0.20739315450191498,0.21218262612819672,0.7841348648071289,0.0029355017468333244,0.43189120292663574
pgv_fwd,cnn,1,peak,2,0.2070542424917221,0.2142808884382248,0.7711737751960754,0.00300352880731225,0.4548434615135193
pgv_fwd,cnn,2,peak,2,0.2027001827955246,0.20728935301303864,0.7919896245002747,0.0027594242710620165,0.5302197933197021
