run,target,arch,norm,n_aux,seeds,MAE_log,MAE_sd,R2_log,R2_lin
A_main,pgv_fwd,cnn_lstm,peak,2,3,0.18636628985404965,0.0013692384697956196,0.825813353061676,0.5289831161499023
B_nolstm,pgv_fwd,cnn,peak,2,3,0.21125095585982004,0.002929322904374675,0.782432754834493,0.4723181525866191
C_nodist,pgv_fwd,cnn_lstm,peak,1,3,0.18482503791650132,0.0034490633161216376,0.8270094593365988,0.5724550286928812
D_waveonly,pgv_fwd,cnn_lstm,none,0,3,0.21917778750260666,0.007062000807018939,0.7607918977737427,0.4886707266171773
E_pga,pga_fwd,cnn_lstm,peak,2,3,0.17694701751073197,0.0009338853385050668,0.8512647946675619,0.36473015944162995
F_pgafull,pga_full,cnn_lstm,peak,2,3,0.1667263954877853,0.00168716147846147,0.8667795260747274,0.3962998588879903
