target,baseline,degenerate,MAE_log,R2_log,MAE_cm/s,R2_lin,MAE_gal
pgv_fwd,predict-the-median,False,0.4515667530594422,-0.012657983098268044,0.0043956850911982615,-0.020826691107004303,
pgv_fwd,log peak amplitude,False,0.3146747552181843,0.5694496513930134,0.0035931786008337133,0.23238021911840512,
pgv_fwd,amplitude + log distance,False,0.28157360087521277,0.6471457850098308,0.0032956986499048254,0.35029695661919014,
pgv_fwd,gbm (same 2 features),False,0.26695971516698486,0.674897278807224,0.00317403401330472,0.3789334267091301,
pgv_fwd,ORACLE +magnitude,False,0.23659380815612707,0.7488505247959112,0.004404126632332746,-23.175328577726066,
pga_fwd,predict-the-median,False,0.47742082478028836,-0.0018246090823699213,,-0.014099277417175982,0.16099687064190113
pga_fwd,log peak amplitude,False,0.2801550516966734,0.6704965105689783,,0.2978856681891602,0.1202469798864814
pga_fwd,amplitude + log distance,False,0.2482497924947962,0.7317841097078871,,0.39633150161702535,0.11099365695911274
pga_fwd,gbm (same 2 features),False,0.24045903382360637,0.7472716562091285,,0.21559028207963515,0.11217331160366502
pga_fwd,ORACLE +magnitude,False,0.22881335558123783,0.7730834865079965,,-0.26142489306240013,0.1044698408514715
pgv_full,predict-the-median,True,0.46446755988938,-0.013490531703781672,0.0057687163012335955,-0.027659983794161347,
pgv_full,log peak amplitude,True,0.23511304841240221,0.7606440623345923,0.0032630063582137665,0.5988728552982874,
pgv_full,amplitude + log distance,True,0.22603276620519022,0.772101504254646,0.0030810183923981782,0.6520403962413344,
pgv_full,gbm (same 2 features),True,0.20649387003865308,0.7967854808472687,0.0030520796069251396,0.615737572296672,
pgv_full,ORACLE +magnitude,True,0.19455568430192052,0.8273220493257344,0.004678892109462318,-12.895061477003491,
pga_full,predict-the-median,True,0.48900258719802875,-0.002274795751939118,,-0.02179857566715815,0.22189175879067463
pga_full,log peak amplitude,True,0.20136778823280038,0.8242385151897187,,0.6799088031010805,0.10560596040801647
pga_full,amplitude + log distance,True,0.19687602217425318,0.8282392460423085,,0.7059484493649721,0.10348138734049424
pga_full,gbm (same 2 features),True,0.18485998224559808,0.8467743724184835,,0.43688006349568065,0.11087772309170733
pga_full,ORACLE +magnitude,True,0.18199403855084376,0.8503064968593083,,-0.5562791512297172,0.1144006735369332
