target,arch,seed,split_by,input_norm,n_aux,val_MAE_log,MAE_log,R2_log,MAE_lin,R2_lin
pgv_fwd,cnn_lstm,0,both,peak,2,0.22434143722057343,0.2328404188156128,0.7569090127944946,0.002810340141877532,0.5047057271003723
pgv_fwd,cnn_lstm,1,both,peak,2,0.22561365365982056,0.2234736829996109,0.7805243730545044,0.0027011188212782145,0.5630133748054504
pgv_fwd,cnn_lstm,2,both,peak,2,0.21890851855278015,0.23170126974582672,0.7605594396591187,0.0028976297471672297,0.427091121673584
