zone,n,base,auc,lo,hi,bss,ig
NAFZ,190,0.4421052631578947,0.520440251572327,0.4409436688061051,0.6064901313696924,-0.2177433675198528,-0.20891412743004553
EAFZ,188,0.5425531914893617,0.6128590971272231,0.532425328838392,0.689834443149273,-0.15180673417078072,-0.16504892875232707
AEGEAN,192,0.6197916666666666,0.5934154483711294,0.5139902995177416,0.6754257133995036,-0.40561487679973074,-0.3751210520007679
CENTRAL,180,0.3055555555555556,0.44290909090909086,0.3519679226478696,0.5289015606519751,-0.21410230885561976,-0.2779396635195907
